Name,Campaign Type,Template,Status,Status Reason,Owner
Barista Monthly Digest,Direct Marketing,No,Active,Launched,Lunaura Hassinger
Coffee Innovation Webinar,Event,No,Active,Launched,Lunaura Hassinger
Coffee Machine Excellence,Advertisement,No,Active,Launched,Lunaura Hassinger
Coffee Trade Fair,Event,No,Active,Launched,Lunaura Hassinger
Customer Care Campaign,Other,No,Active,Launched,Lunaura Hassinger
Customer Follow-up,Other,No,Active,Launched,Lunaura Hassinger
Global Coffee Expo,Event,No,Active,Launched,Lunaura Hassinger
Intelligent Coffee Machine Showcase,Co-branding,No,Active,Launched,Lunaura Hassinger
Loyalty Customer Promotion,Direct Marketing,No,Active,Launched,Lunaura Hassinger
New Product Release,Direct Marketing,No,Active,Launched,Lunaura Hassinger
Perfect Brew Coffee  Webinar,Co-branding,No,Active,Launched,Lunaura Hassinger
Sustainable Coffee Newsletter,Direct Marketing,No,Active,Launched,Lunaura Hassinger
